Account,date,trade_count,avg_size_usd,total_fee
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,177,5089.718248587571,167.796055
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,68,7976.664411764705,67.883615
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,40,23734.5,94.93798300000002
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,12,28186.666666666668,33.823995
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,27,17248.14814814815,104.62249
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,82,16058.536341463414,131.679967
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,23,48561.68565217392,390.921553
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,33,36736.36242424243,121.229992
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,465,11410.954021505377,780.33644
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,51,9400.588039215687,23.971493
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,10,185847.0,92.923496
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,839,23593.019856972587,2355.038296
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,531,10576.687156308852,704.19937
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,210,26585.06338095238,700.101577
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,141,10161.056241134751,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,48,32032.5,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,6,134600.00166666668,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,59,27178.041694915253,561.226533
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,219,13233.776894977169,555.888761
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,55,24958.908545454546,137.273975
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,45,2985.797555555556,6.71802
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,641,8371.136099843994,268.294625
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,5,79640.0,39.819998
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,31,21491.640322580646,66.62407
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,54,2515.6896296296295,34.68082399
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,34,1426.8700000000001,1.31668822
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,25,2081.1432,5.2028479999999995
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,46,1131.888695652174,1.4383267
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,63,866.4238095238095,19.104602
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,59,1913.523898305085,20.81460217
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,34,10051.199411764705,119.60926
