Account,date,long_count,short_count,long_short_ratio,bias
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0,177,0.0,Short Biased
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0,68,0.0,Short Biased
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0,40,0.0,Short Biased
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,0,15,0.0,Short Biased
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0,23,0.0,Short Biased
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,0,353,0.0,Short Biased
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,0,23,0.0,Short Biased
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,0,1,0.0,Short Biased
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,275,193,1.425,Balanced
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,0,420,0.0,Short Biased
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,0,132,0.0,Short Biased
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,0,9,0.0,Short Biased
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,0,32,0.0,Short Biased
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0,6,0.0,Short Biased
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,0,28,0.0,Short Biased
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,0,126,0.0,Short Biased
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,0,54,0.0,Short Biased
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,0,9,0.0,Short Biased
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,0,101,0.0,Short Biased
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,0,1,0.0,Short Biased
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,13,0,10.0,Long Biased
